P_MASS,P_RADIUS,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_IMPACT_PARAMETER,S_DISTANCE,S_MASS,S_RADIUS,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,S_LUMINOSITY,S_HZ_CON0_MAX,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,CEESA
4290.678,12.331,260.0,0.5688138199999996,0.9690200000000004,50.0475,0.9,1.0,0.03,-1.9016399999999996,2.061540000000001,5285.0,18.653649530961488,347.95864,28.218201,2.2883952111055117,260.0,8.79e-06,13.872612,142.23066910000017,0.59429216,1.3497149,0.83970801,0.1925274,0.0,0.0,0.0,0.071985952,4.015350645321469
20.118513,4.06923,0.0645,0.186,0.18,9.7221,0.5,0.7,0.022,-0.003,0.003,3588.0,2.223523993512908,4.9440588,1.2149863,0.2985789353241471,0.065615721,22.005236,548.17248,618.7827423000001,0.089949758,0.60019072,0.037400317,0.15029756,0.0,0.0,0.0,0.22531631,1.5521715967213996
9.5984057,3.23969,0.1101,0.041,0.3,9.7221,0.5,0.75,0.022,-0.003,0.003,3700.0,1.7212653393575108,2.9627544,0.91451785,0.2822856078222521,0.11019254,7.4266113,420.4415,475.0104442999997,0.089949758,0.59587378,0.045335717,0.15029756,0.0,0.0,0.0,0.34398491,1.2693683676469543
2034.0992,12.6673,1.3,0.2,0.393951,1070.63,1.14,32.35,5.2,-2.75,4.75,4095.0,12.671967093149664,160.57875,12.676636,1.0007370083463614,1.326,302.67579,1054.5708,1394.2544689999995,501.18723,43.273336,0.11761662,0.49188134,0.0,0.0,0.0,0.073820792,5.2807961447753495
330.54112,13.7883,0.78,0.29,0.6565099999999997,49.352,0.49,0.86,4.4167000000000005,-3.5485800000000007,4.2760500000000015,4864.0,4.896180108090737,23.97258,1.7386175,0.1260936807460931,0.812799,0.82202829,238.65022,267.8672447999997,0.47863009,1.2569113,0.33265737,0.36370546,1.0,1.0,0.0,0.38463538,1.6774405548352807
337.21551,13.7883,0.576,0.001,0.3190610000000001,768.045,1.08,8.95,7.41,-2.52,3.81,4649.0,4.9453656589177015,24.456641,1.7737242,0.1286398039087269,0.57600029,111.98381,828.76923,935.3533245999996,37.153523,11.278201,0.29922028,0.5124708,0.0,0.0,0.0,0.074603787,2.3102922814248448
352.78908,13.7883,0.539,0.26,0.380471,426.42,1.1,14.7,7.1,-4.2,4.2,4796.0,5.058272300482189,25.586119,1.8556398,0.1345807554116956,0.5572182,364.77187,1098.9594,1574.1723610000004,102.3293,18.485914,0.38754905,0.5119554,0.0,0.0,0.0,0.068093252,2.6763254345010936
17668.059,11.5463,1.05,0.15,0.5853959999999998,1539.71,10.83,71.02,4.696850000000003,-2.2405500000000007,3.2299400000000027,4259.0,39.11767208545261,1530.1922,132.52663,11.477844295311028,1.0618125,1356.9474,1539.699,2167.993506999999,1479.1084,73.427407,0.33017176,1.0206902,0.0,0.0,0.0,0.077056665,14.055147718359192
3963.3152,12.331,2.01,0.18,0.5550059999999999,1539.71,2.8,49.0,5.52395,-2.9877300000000018,3.7025800000000015,4137.0,17.927930402269993,321.41069,26.065257,2.113799153369626,2.042562,372.18593,1112.1407,1584.5622749999998,1479.1084,74.108739,0.17056505,0.6502352,0.0,0.0,0.0,0.074860682,7.120774779185547
1334.8776,13.0036,1.3,0.21,0.3982219999999999,1322.51,0.8,17.3,3.94214,-2.4187700000000008,3.44923,4296.0,10.1318539723689,102.65447,7.8943112,0.6070865902054559,1.328665,55.195931,688.59185,778.2729161,91.201084,18.180954,0.14762734,0.42826685,0.0,0.0,0.0,0.087628398,3.834296103862234
22.24796,2.5783,0.241,0.0,0.3120570000000001,179.461,1.67,1.08,3.34,-1.49,1.95,5766.0,2.93750336791904,8.6289261,3.3467502,1.2980453005470196,0.241,15.134425,502.50037,566.5186462999993,0.87902252,1.5732669,2.357775,0.51890526,0.0,0.0,0.0,0.30645978,2.0970358160111076
432.24608,13.5641,0.83,0.12,0.301021,53.622,0.81,0.81,4.5029,-3.68746,4.160670000000001,5004.0,5.64507921063236,31.866919,2.3493574,0.1732040786433756,0.835976,0.58343633,222.0565,244.0172991,0.3990249,1.1337563,0.50028404,0.43004391,1.0,1.0,0.0,0.3622623,1.8308881611926207
289.22348,13.9004,1.0,0.2,0.377474,871.493,0.74,11.0,3.94932,-2.478000000000001,3.5594399999999995,4414.0,4.561452164186609,20.806846,1.4968523,0.1076841177037647,1.02,49.987841,672.2757,761.7366048,48.977882,13.200271,0.17616621,0.41728076,0.0,0.0,0.0,0.085490421,2.061453788443129
540.3076,13.452,1.7,0.76,0.40181,666.589,1.09,10.33,4.718159999999999,-3.23509,3.567339999999998,4534.0,6.337633327502823,40.165596,2.9858457,0.2219629562829406,2.19096,23.240218,480.71846,567.3413995999996,43.651583,12.341585,0.24633249,0.47478096,0.0,0.0,0.0,0.11000964,2.47093666653927
508.5248,13.5641,4.2,0.35,0.46379,442.042,1.52,7.6,2.34,-0.8,1.2,4943.0,6.12294808792528,37.490494,2.7639499,0.2037695042863243,4.45725,1.7859852,287.46213,326.08058450000004,29.512092,9.8023876,0.55567772,0.47392397,1.0,0.0,0.0,0.35820477,2.092212538985004
228.83616,14.0125,0.78,0.27,0.3420310000000001,52.5697,0.91,0.9,4.8049,-3.915670000000001,4.33705,5012.0,4.041145738030685,16.330859,1.1654493,0.0831721206027997,0.808431,0.83032383,239.78898,268.6303261999998,0.48640721,1.2508796,0.52727565,0.44705908,1.0,1.0,0.0,0.38360023,1.447738474596706
4767.42,14.6851,1662.0,0.5955603299999995,0.9838899999999998,44.9543,1.0,0.8,0.1,-0.05,0.05,4993.0,18.017861859181128,324.64335,22.106989,1.5054026954827378,1662.0,8.22e-07,7.6706011,142.3204969000002,2.2698649,2.7066845,0.52664061,0.24372018,0.0,0.0,0.0,0.061587446,3.745647928497064
1258.5989,13.0036,2.06,0.88,0.71341,38.0473,0.82,0.8,4.68687,-3.958950000000002,4.468250000000004,5000.0,9.838114505919885,96.788496,7.4432077,0.5723959370037653,2.857632,0.19168848,131.13929,170.2723497,0.38636698,1.1160194,0.4988942,0.4318064,0.0,0.0,0.0,0.22707199,2.5651095327827327
7961.5915,11.9947,1.48,0.39,0.6094210000000002,42.6402,0.81,0.84,4.28032,-3.89777,4.431600000000004,5040.0,25.763523024049327,663.75911,55.3377,4.613512693275923,1.592554,0.22146457,169.5143,184.08495769999996,0.44668359,1.1957744,0.53220248,0.43004391,0.0,0.0,0.0,0.25096006,5.494308533865229
8.5813561,2.84734,0.0428,0.0,0.4416420000000002,20.2695,0.7,0.69,4.4,-4.0,4.0,4324.0,1.736034283757947,3.013815,1.0584669,0.3717388375947381,0.0428,51.89344,683.79044,772.23385,0.095060479,0.58569245,0.1481588,0.40659899,0.0,0.0,0.0,0.23961855,1.4898686354086876
54.03076,8.37387,0.435,0.31,0.3809700000000003,20.2695,0.7,0.69,4.4,-4.0,4.0,4324.0,2.5401386988622794,6.4523046,0.7705284,0.0920158056921364,0.45590175,0.52839816,213.16809,241.6462834,0.095060479,0.58569245,0.1481588,0.40659899,1.0,1.0,0.0,0.40249981,1.1320312809190394
12.71312,3.60962,0.06,0.15,0.51851,41.3342,0.5,0.71,4.5,-4.0,4.0,4816.0,1.8767020613718708,3.5220106,0.97572892,0.2703134736666013,0.060675,66.472057,724.36066,818.8170597000001,0.23659197,0.8873548,0.30839557,0.36482416,0.0,0.0,0.0,0.20561595,1.5105312897888112
104.88324,12.4431,0.68,0.19,0.3855310000000001,41.3342,0.74,0.72,4.5,-4.0,4.0,4746.0,2.903278859509609,8.4290282,0.6774058,0.054440276305517,0.692274,0.52115413,214.98146,241.7945593,0.23659197,0.89266998,0.31162607,0.41575501,1.0,1.0,0.0,0.35825352,1.133568907338972
187.51852,14.1246,0.04,0.02,0.4354529999999999,84.4069,1.47,0.91,1.0,-1.0,2.0,5393.0,3.643627778987978,13.276023,0.93992208,0.0665450404705043,0.040008,402.68634,1141.1797,1288.7965400000005,0.64416927,1.3917926,1.1905126,0.40675286,0.0,0.0,0.0,0.06642299,1.978583724651301
206.5882,14.0125,2.36,0.05,0.7108039999999999,27.1665,0.65,0.64,7.4,-4.9,4.5,4550.0,3.839679216455588,14.743137,1.0521418,0.0750859422108608,2.36295,0.028230563,104.38089,150.85712140000007,0.15703628,0.73926729,0.21311886,0.43258147,0.0,0.0,0.0,0.093220866,1.2061064307011478
