P_MASS,P_RADIUS,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,S_DISTANCE,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_SURF,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
7.990196,1.87207,0.01544,0.05,0.39,-0.03,0.03,12.5855,0.91,-0.02,0.02,0.94,-0.01,0.01,10.2,-2.5,2.5,5172.0,2.0659398577839543,4.2681075,2.2798867,1.2178426558875117,0.0154593,2668.3879,2417.2792,2952.9643,1830.2201,2066.9461,0.94,0.63533093,0.61901216,1.486773,0.78406755,1.4095949,0.82960593,1.4095949,0.7569217,1.4095949,2.1521066,0.69409129,0.51051127,0.0,0.0,0.0,0.26152245
44.813748,7.58917,0.7708,0.08,0.3357,-0.180395,0.15163900000000008,12.5855,0.91,-0.02,0.02,0.94,-0.01,0.01,10.2,-2.5,2.5,5172.0,2.4300124193064963,5.9049604,0.77807723,0.1025246803281463,0.77326656,1.0727803,0.91678833,1.2634002,258.97034,294.3792907,0.94,0.63533093,0.61901216,1.486773,0.78406755,1.4095949,0.82960593,1.4095949,0.7569217,1.4095949,2.1521066,0.69409129,0.51051127,1.0,1.0,0.0,0.45697611
638.83429,13.3399,2.11,0.073,0.41233000000000003,-0.17930299999999996,0.12894000000000014,54.6599,1.44,-0.08170000000000004,0.08120000000000002,5.2,-0.15360000000000013,0.16240000000000004,2.353,-0.211,0.211,4938.0,6.920186877836905,47.888986,3.5899059,0.2691104096081709,2.1156221,3.3775,2.9257394,3.9199057,345.03156,390.8205978999998,5.2,14.996848,3.0421125,7.3734623,3.8532887,6.9907019,4.0781517,6.9907019,3.719937,6.9907019,10.455957,0.54108483,0.46588921,0.0,0.0,0.0,0.28045586
5.085248,2.10748,0.050201,0.12,0.33269999999999983,-0.21036000000000002,0.212833,8.50332,0.94,-0.03,0.03,0.96,-0.01,0.01,8.96,-3.08,2.76,5577.0,1.5533679414692616,2.412952,1.1449466,0.5432775414391937,0.050562447,321.16256,254.17874,411.72754,1075.589,1214.7088,0.96,0.80352612,0.68077226,1.6130332,0.86228713,1.5293019,0.91199,1.5293019,0.832396,1.5293019,2.4202697,1.4069863,0.50503188,0.0,0.0,0.0,0.25346218
18.116196,4.46158,0.2175,0.14,0.48666999999999966,-0.23329000000000005,0.13772,8.50332,0.94,-0.03,0.03,0.96,-0.01,0.01,8.96,-3.08,2.76,5577.0,2.0150654791106626,4.0604889,0.91010111,0.2039862793764763,0.2196315,17.15457,13.069885,22.965958,516.57153,583.7158891999998,0.96,0.80352612,0.68077226,1.6130332,0.86228713,1.5293019,0.91199,1.5293019,0.832396,1.5293019,2.4202697,1.4069863,0.50503188,0.0,0.0,0.0,0.22749898
22.883616,5.11176,0.476,0.35,0.3802300000000002,-0.1944040000000001,0.133385,8.50332,0.94,-0.03,0.03,0.96,-0.01,0.01,8.96,-3.08,2.76,5577.0,2.1158121079381007,4.4766609,0.87575725,0.17132205917055868,0.505155,3.7858424,1.9458912,8.3938148,346.85808,393.17281189999994,0.96,0.80352612,0.68077226,1.6130332,0.86228713,1.5293019,0.91199,1.5293019,0.832396,1.5293019,2.4202697,1.4069863,0.50503188,0.0,0.0,0.0,0.37093324
587.98181,13.452,1.758,0.06,0.3569120000000002,-0.17449499999999996,0.15323999999999996,19.8101,1.34,-0.12,0.11,4.87,-0.14,0.17,4.3,-1.3,0.9,4826.0,6.611325141818058,43.70962,3.2493027,0.2415479271218734,1.7611644,3.7475324,3.3292816,4.2335681,354.23188,400.2555258,4.87,11.561122,2.6844795,6.5369572,3.4002994,6.1976171,3.5991945,6.1976171,3.282637,6.1976171,9.1804458,0.43579367,0.50292649,0.0,0.0,0.0,0.26607224
276.51036,13.9004,2.153,0.08,0.41833000000000004,-0.16653699999999994,0.12035999999999994,19.8101,1.34,-0.12,0.11,4.87,-0.14,0.17,4.3,-1.3,0.9,4826.0,4.4600739024776415,19.892259,1.4310566,0.1029507498926102,2.1598896,2.5021086,2.1382793,2.9467025,320.03602,361.9954379,4.87,11.561122,2.6844795,6.5369572,3.4002994,6.1976171,3.5991945,6.1976171,3.282637,6.1976171,9.1804458,0.43579367,0.50292649,0.0,0.0,0.0,0.31679596
2380.5317,12.6673,0.481,0.3988,0.36489000000000016,-0.17891800000000008,0.16462600000000008,17.9011,1.09,-0.11489999999999993,0.11489999999999988,1.89,-0.15000000000000005,0.17160000000000003,7.77,-0.51,0.51,5495.0,13.708658460697572,187.92732,14.835625,1.1711750202407423,0.51924947,13.314429,6.2402013,33.780953,471.31239,534.780443,1.89,2.82488,1.2824945,3.0464441,1.6244505,2.8883053,1.7182223,2.8883053,1.5681556,2.8883053,4.5379925,1.2839292,0.51812813,0.0,0.0,0.0,0.14302055
953.48401,13.1157,2.1,0.117,0.3495800000000001,-0.177884,0.16692700000000002,82.9613,2.49,-0.27,0.02,10.5,-1.0,1.0,6.25348,-3.083479999999999,3.190329999999999,4846.0,8.526307080182269,72.697912,5.542816,0.42260924288006374,2.1143734,12.261807,9.7601179,15.618525,475.51291,537.5076606999996,10.5,53.70318,5.7806921,14.064653,7.3221189,13.334544,7.7502335,13.334544,7.068744,13.334544,19.786263,0.55449989,0.62529398,0.0,0.0,0.0,0.14623544
